n	Session	magnetometer.seconds.Unix	magnetometer.magx	magnetometer.magy	magnetometer.magz
11	4604	1411812150	\xffd3ffd5ffd3ffd3ffd3ffd5ffd6ffd5ffd5ffd3ffd5ffd8ffd7ffd6ffd5ffd5ffd5ffd6ffd5ffd3ffd3ffd2ffd1ffd2ffd1ffd1ffd1ffd1ffd0ffd0ffd0ffcfffceffceffcfffceffd1ffd1ffd1ffd1ffd1ffd1ffd4ffd3ffd1ffd2ffd3ffd4ffd5ffd4	\xfec7fec6fec8fec8fec9fecafec8fec9fec8fec8fec6fec6fec4fec5fec5fec5fec6fec6fec7fec8fec8fec7fec6fec5fec7fec7fec6fec7fec7fec9fec8fec9fec7fec7fec8fecafec9fec9feccfecbfeccfeccfeccfecbfecafec9fec8fec7fec5fec6	\xfe76fe78fe7cfe7cfe7cfe7bfe7cfe7cfe7cfe7bfe77fe76fe76fe75fe75fe75fe75fe74fe75fe75fe75fe78fe79fe79fe79fe7afe78fe77fe78fe75fe74fe74fe73fe73fe75fe77fe77fe79fe79fe79fe7afe7afe79fe79fe79fe78fe78fe76fe75fe74
12	4604	1411812151	\xffd4ffd4ffd6ffd4ffd6ffd4ffd5ffd6ffd6ffd7ffd6ffd7ffd7ffd9ffd9ffd8ffd7ffd7ffd8ffd8ffd7ffd6ffd6ffd6ffd6ffd6ffd6ffd5ffd4ffd4ffd4ffd4ffd4ffd3ffd2ffd3ffd5ffd4ffd2ffd2ffd2ffd3ffd3ffd3ffd4ffd6ffd7ffd8ffd9	\xfec5fec5fec4fec3fec2fec2fec3fec1fec1febffec1fec3fec3fec4fec4fec5fec4fec3fec3fec4fec5fec5fec7fec7fec9fec8fec8fec9fec9fec9fec9fec7fec7fec9fec8fec7fec6fec6fec3fec6fec5fec6fec6fec6fec6fec8fec7fec7fec6	\xfe73fe71fe71fe6ffe6efe6ffe6ffe70fe73fe72fe73fe74fe74fe74fe75fe75fe73fe75fe75fe75fe75fe75fe76fe78fe7bfe7cfe7afe7afe7bfe7cfe7cfe79fe78fe76fe75fe75fe75fe74fe74fe75fe76fe78fe78fe79fe78fe77fe77fe75fe73
13	4604	1411812152	\xffd9ffd8ffd7ffd6ffd6ffd4ffd4ffd4ffd4ffd3ffd4ffd4ffd4ffd6ffd5ffd4ffd4ffd4ffd5ffd5ffd4ffd4ffd3ffd4ffd4ffd4ffd4ffd5ffd5ffd5ffd6ffd5ffd5ffd5ffd4ffd5ffd6ffd6ffd6ffd7ffd7ffd6ffd5ffd5ffd3ffd2ffd2ffd1ffd1ffd2	\xfec4fec4fec4fec4fec3fec7fec7fec9fecbfec9fecafec9fec8fec7fec7fec7fec7fec7fec7fec7fec7fec5fec4fec1fec1fec2fec1fec1fec1fec2fec3fec4fec5fec4fec6fec4fec4fec6fec5fec7fec8fec8fec8fec8fecafecafecbfec9fec9fec9	\xfe72fe74fe72fe73fe74fe75fe75fe76fe77fe77fe78fe78fe78fe78fe77fe76fe76fe76fe77fe76fe73fe72fe71fe72fe72fe70fe6ffe6ffe71fe71fe73fe71fe72fe72fe74fe74fe72fe72fe71fe72fe72fe74fe73fe73fe73fe75fe76fe77fe79fe79
14	4604	1411812153	\xffd3ffd2ffd2ffd2ffd2ffd3ffd2ffd1ffd2ffd4ffd4ffd2ffd1ffd1ffd1ffd2ffd2ffd1ffd1ffd1ffd2ffd3ffd2ffd3ffd3ffd3ffd3ffd2ffd2ffd2ffd2ffd1ffd1ffd1ffd1ffd2ffd2ffd2ffd2ffd2ffd1ffd1ffd1ffd2ffd2ffd1ffcfffcfffd1ffd1	\xfec9fec9fec9fecafecbfecafecafecafec9fecafec9fec7fec6fec6fec7fec5fec4fec4fec3fec3fec3fec2fec2fec1fec1fec4fec6fec4fec5fec7fec8fec9fecafecafecafeccfeccfecbfecbfecdfeccfec9fec6fec4fec3fec5fec4fec3fec3fec4	\xfe79fe79fe7bfe7bfe7cfe7bfe79fe78fe79fe7bfe7afe79fe78fe79fe77fe76fe75fe75fe73fe72fe71fe70fe72fe73fe71fe70fe73fe75fe76fe77fe77fe76fe77fe78fe76fe75fe76fe76fe78fe79fe7afe79fe78fe77fe75fe74fe73fe70fe6ffe6f
15	4604	1411812154	\xffd3ffd3ffd4ffd6ffd8ffd8ffd6ffd5ffd5ffd6ffd5ffd5ffd4ffd2ffd2ffd3ffd2ffd2ffd1ffd2ffd2ffd2ffd4ffd4ffd5ffd3ffd4ffd3ffd5ffd4ffd3ffd2ffd1ffd1ffd1ffd1ffd0ffd2ffd2ffd2ffd3ffd3ffd2ffd2ffd3ffd1ffd1ffcfffd0	\xfec3fec5fec5fec4fec4fec2fec4fec5fec7fec7fec6fec6fec7fec9fec8fec9fec9fecafec9fecafec9fec9fecafecafecafec9fecafec9fec9fec9fec7fec8fec7fec9fec9fec9fec9fec9fecafec7fec7fec6fec5fec6fec4fec2fec3fec6fec6	\xfe71fe71fe73fe72fe72fe73fe73fe73fe72fe72fe71fe72fe71fe73fe73fe73fe71fe71fe73fe73fe74fe75fe78fe77fe77fe77fe78fe78fe78fe76fe75fe76fe78fe78fe77fe77fe75fe75fe75fe74fe73fe73fe72fe72fe72fe73fe73fe72fe73
16	4604	1411812155	\xffd0ffd1ffd1ffcfffcfffd0ffd2ffd2ffd4ffd2ffd3ffd4ffd2ffd1ffd1ffd1ffcfffceffcdffceffd1ffd2ffd2ffd2ffd3ffd4ffd4ffd6ffd5ffd5ffd4ffd3ffd3ffd3ffd2ffcfffd0ffd0ffd0ffd1ffd1ffd0ffd1ffd3ffd3ffd2ffd3ffd2ffd2ffd3	\xfec6fec7fec7fec8fecafec9fec9fec8fec8fec7fec9fec9fec9fec8fec8fec7fec7fec6fec4fec4fec3fec3fec4fec5fec5fec6fec5fec4fec5fec6fec4fec1fec2fec3fec5fec5fec6fec7fec6fec9fecafecbfeccfeccfeccfeccfeccfecefecefecb	\xfe73fe75fe74fe75fe77fe76fe77fe76fe77fe76fe77fe77fe76fe77fe77fe77fe75fe74fe73fe71fe70fe70fe6ffe6ffe6ffe6ffe71fe71fe72fe72fe73fe71fe70fe71fe70fe71fe71fe71fe73fe75fe76fe76fe77fe76fe76fe76fe74fe75fe77fe75
17	4604	1411812156	\xffd4ffd2ffd1ffd2ffd2ffd3ffd1ffd1ffd1ffd1ffd1ffd0ffd1ffd0ffd1ffd1ffd1ffd1ffd1ffd2ffd1ffd1ffd2ffd1ffd3ffd3ffd4ffd3ffd4ffd3ffd2ffd2ffd1ffd1ffcfffd0ffd0ffd0ffd1ffd1ffd0ffd0ffd1ffd0ffd1ffd0ffd1ffcfffd0ffd1	\xfec9fec8fec9fec7fec7fec6fec4fec5fec5fec5fec4fec6fec6fec6fec7fec6fec8fec8fec9fec9fec8fec9fecafecbfecafecafecafecafecdfeccfecbfecbfecbfeccfecafecafec8fec6fec5fec3fec3fec2fec3fec3fec4fec5fec5fec4fec5fec7	\xfe75fe75fe75fe73fe73fe71fe70fe70fe72fe71fe72fe74fe75fe74fe74fe75fe73fe74fe74fe74fe75fe75fe76fe77fe78fe78fe77fe76fe76fe76fe76fe77fe76fe77fe76fe75fe73fe72fe71fe71fe72fe72fe72fe73fe74fe75fe74fe72fe71fe71
18	4604	1411812157	\xffd2ffd2ffd1ffd1ffd1ffd4ffd5ffd4ffd7ffd6ffd5ffd7ffd6ffd5ffd4ffd4ffd4ffd4ffd4ffd4ffd5ffd5ffd5ffd6ffd3ffd2ffd2ffd1ffcfffcdffceffccffceffceffceffceffceffd0ffcfffd0ffcfffcfffd0ffd1ffd2ffd2ffd4ffd2ffd2	\xfec7fec6fec6fec5fec6fec7fec9fec8fec9fec9fecafecbfecafec9fec9fec9fec8fec9fec9fecafecafecafec9fec9fec9fec8fec8fec5fec4fec2fec1fec1fec0fec0febefec0fec3fec4fec6fec6fec6fec6fec7fec8fec8fec9fec9fecafecb	\xfe72fe73fe72fe71fe71fe73fe75fe75fe74fe74fe75fe76fe78fe77fe76fe77fe78fe78fe77fe77fe75fe74fe75fe72fe70fe6ffe70fe6ffe71fe72fe71fe72fe71fe71fe70fe71fe70fe70fe70fe70fe71fe73fe73fe72fe73fe73fe76fe77fe77
19	4604	1411812158	\xffd1ffd0ffd0ffd1ffd1ffcfffd1ffd2ffd3ffd5ffd5ffd5ffd3ffd4ffd4ffd3ffd4ffd4ffd3ffd3ffd5ffd7ffd5ffd6ffd7ffd6ffd6ffd7ffd5ffd7ffd7ffd6ffd5ffd6ffd4ffd2ffd3ffd1ffd3ffd3ffd3ffd3ffd3ffd5ffd4ffd3ffd3ffd5ffd5ffd6	\xfecafecdfeccfecbfecafecafecafec9fec9fec8fec8fec7fec6fec3fec2fec3fec3fec3fec2fec3fec3fec5fec5fec6fec4fec7fec8fec7fec8fec8fec8fec7fec9fec8fec8fec9fecafecbfecbfeccfeccfecdfeccfecdfecbfecafec9fec8fec7fec5	\xfe76fe77fe77fe76fe76fe73fe72fe72fe71fe70fe70fe6ffe6ffe6ffe6ffe6ffe6dfe6dfe6dfe6cfe6dfe6cfe6dfe6efe70fe70fe6ffe70fe6ffe71fe6ffe71fe71fe72fe73fe74fe75fe75fe75fe74fe75fe74fe74fe73fe73fe73fe73fe73fe72fe71
20	4604	1411812159	\xffd8ffd8ffd8ffd9ffd8ffd7ffd7ffd5ffd4ffd4ffd3ffd2ffd4ffd4ffd3ffd3ffd3ffd4ffd3ffd5ffd3ffd2ffd3ffd3ffd3ffd1ffd2ffd1ffd1ffd1ffd1ffd1ffd2ffd5ffd6ffd5ffd5ffd5ffd6ffd6ffd7ffd5ffd6ffd7ffd7ffd8ffd5ffd6ffd4ffd4	\xfec5fec5fec5fec5fec4fec4fec4fec4fec4fec5fec4fec2fec3fec4fec5fec5fec7fec7fec8fecafecbfecbfecafecbfecafecafecafec9fec9fec6fec6fec7fec5fec5fec4fec5fec4fec6fec7fec6fec5fec5fec6fec8fec9fec9fec9fec8fec9fecb	\xfe71fe72fe73fe73fe74fe73fe73fe74fe75fe74fe72fe72fe71fe72fe73fe73fe73fe76fe77fe79fe7afe7afe7bfe7cfe7cfe7bfe7bfe7afe79fe79fe78fe78fe77fe77fe75fe75fe75fe75fe75fe73fe72fe71fe72fe72fe71fe72fe71fe73fe75fe76
