systime	gpstime	latitude	longitude	altitude	speed	heading	hpdop	vdop	pdop
1411812183.51423	1411812183.00	41.178062	-8.598382	145.6	0.087	178.4500	1.6	2.4	2.9
1411812184.43441	?	?	?	145.5	?	?	1.6	2.4	2.9
1411812185.45837	1411812184.00	41.178063	-8.598382	145.4	0.077	174.4000	1.6	2.4	2.9
1411812186.50671	1411812186.00	41.178063	-8.598380	145.2	0.077	171.0500	1.6	2.4	2.9
1411812188.44375	1411812187.00	41.178063	-8.598380	145.1	0.072	181.1300	1.6	2.4	2.9
1411812189.47465	1411812188.00	41.178063	-8.598380	145.1	0.077	178.9700	1.6	2.4	2.9
1411812190.53269	1411812190.00	41.178062	-8.598378	145.0	0.072	178.8900	1.6	2.4	2.9
1411812191.46119	1411812191.00	41.178062	-8.598378	144.9	0.077	178.3100	1.6	2.4	2.9
1411812192.92064	1411812192.00	41.178062	-8.598378	144.9	0.072	179.8500	1.6	2.4	2.9
1411812193.54391	1411812193.00	41.178062	-8.598378	144.8	0.077	180.7800	1.6	2.4	2.9
1411812194.45790	1411812194.00	41.178062	-8.598378	144.8	0.082	180.5400	1.6	2.4	2.9
1411812195.50005	1411812195.00	41.178062	-8.598377	144.8	0.077	179.1000	1.6	2.4	2.9
1411812196.52154	1411812196.00	41.178062	-8.598377	144.7	0.077	181.8700	1.6	2.4	2.9
1411812198.30312	1411812197.00	41.178062	-8.598377	144.6	0.077	176.1300	1.6	2.4	2.9
1411812198.86028	1411812198.00	41.178062	-8.598377	?	0.077	180.7400	?	?	?
1411812199.52205	1411812199.00	41.178062	-8.598377	144.6	0.077	180.1500	1.6	2.4	2.9
1411812200.50960	1411812200.00	41.178062	-8.598377	144.6	0.077	179.6800	1.6	2.4	2.9
1411812201.44949	1411812201.00	41.178062	-8.598377	144.5	0.077	177.6400	1.6	2.4	2.9
1411812202.91533	1411812202.00	41.178062	-8.598377	144.5	0.082	178.3200	1.6	2.4	2.9
1411812203.54248	1411812203.00	41.178062	-8.598375	144.4	0.077	180.8600	1.6	2.4	2.9
1411812204.45857	1411812204.00	41.178062	-8.598375	144.4	0.077	177.6600	1.6	2.4	2.9
1411812205.49065	1411812205.00	41.178062	-8.598375	144.3	0.072	179.0500	1.6	2.4	2.9
1411812206.50607	1411812206.00	41.178062	-8.598375	144.3	0.077	179.7500	1.6	2.4	2.9
1411812208.33111	1411812207.00	41.178062	-8.598375	144.2	0.082	182.5800	1.6	2.4	2.9
1411812208.87584	1411812208.00	41.178062	-8.598375	?	0.077	174.6900	?	?	?
1411812209.49753	1411812209.00	41.178062	-8.598375	144.1	0.077	178.2800	1.6	2.4	2.9
1411812210.49413	1411812210.00	41.178062	-8.598375	144.1	0.067	181.7300	1.6	2.4	2.9
1411812211.46556	1411812211.00	41.178062	-8.598373	144.0	0.144	175.0900	1.6	2.4	2.9
1411812212.92625	1411812212.00	41.178062	-8.598373	144.0	0.139	175.0100	1.6	2.4	2.9
1411812213.51768	1411812213.00	41.178060	-8.598373	143.9	0.144	175.3100	1.6	2.4	2.9
1411812214.46543	1411812214.00	41.178060	-8.598373	143.8	0.139	175.8800	1.6	2.4	2.9
1411812215.52420	1411812215.00	41.178060	-8.598372	143.7	0.051	176.9800	1.6	2.4	2.9
1411812216.51451	1411812216.00	41.178060	-8.598372	143.6	0.046	176.4800	1.6	2.4	2.9
1411812217.16044	?	?	?	143.6	?	?	1.6	?	?
1411812218.44469	1411812217.00	41.178060	-8.598372	143.5	0.057	177.8900	1.6	2.4	2.9
1411812219.44224	1411812218.00	41.178060	-8.598372	143.4	0.046	172.3400	1.6	2.4	2.9
1411812220.46023	1411812219.00	41.178062	-8.598372	143.3	0.072	176.3100	1.6	2.4	2.9
1411812221.47258	1411812220.00	41.178062	-8.598370	143.2	0.067	171.1900	1.6	2.4	2.9
1411812222.68946	?	?	?	143.1	?	?	1.6	2.4	2.9
1411812223.51870	1411812223.00	41.178062	-8.598370	143.0	0.072	172.0300	1.6	2.4	2.9
1411812224.50820	1411812224.00	41.178062	-8.598370	142.9	0.067	168.8600	1.6	2.4	2.9
