systime	gpstime	latitude	longitude	altitude	speed	heading	hpdop	vdop	pdop
1411813080.45862	1411813107.00	41.166820	-8.597373	168.2	3.817	119.9800	1.1	1.6	1.9
1411813081.49932	1411813108.00	41.166802	-8.597340	169.1	3.539	136.8500	1.1	1.6	1.9
1411813082.45651	1411813109.00	41.166768	-8.597320	170.3	4.044	167.1500	1.1	1.6	1.9
1411813084.43378	1411813110.00	41.166722	-8.597315	173.8	4.764	180.6200	1.1	1.6	1.9
1411813085.45450	1411813112.00	41.166615	-8.597340	174.8	6.323	197.3000	1.1	1.6	1.9
1411813086.48310	1411813113.00	41.166550	-8.597363	177.1	7.146	196.5900	1.1	1.6	1.9
1411813087.44142	1411813114.00	41.166490	-8.597390	177.8	6.930	202.3500	1.1	1.6	1.9
1411813089.43987	1411813115.00	41.166432	-8.597420	178.3	6.616	199.9800	1.1	1.6	1.9
1411813090.45431	1411813117.00	41.166320	-8.597457	178.6	5.649	192.4700	1.1	1.6	1.9
1411813091.47415	1411813118.00	41.166268	-8.597470	178.5	5.469	191.8600	1.1	1.6	1.9
1411813092.46498	1411813119.00	41.166218	-8.597483	178.2	5.283	193.3400	1.1	1.6	1.9
1411813094.41915	1411813120.00	41.166167	-8.597498	180.4	5.278	190.7500	1.1	1.6	1.9
1411813095.45194	1411813122.00	41.166085	-8.597522	181.1	2.943	200.6500	1.1	1.6	1.9
1411813096.46918	1411813123.00	41.166062	-8.597532	181.6	2.001	196.7700	1.1	1.6	1.9
1411813097.48456	1411813124.00	41.166048	-8.597540	181.9	1.101	213.8300	1.1	1.6	1.9
1411813099.41979	1411813125.00	41.166040	-8.597547	181.9	0.947	213.1100	1.1	1.6	1.9
1411813100.46951	1411813127.00	41.166033	-8.597558	182.3	0.273	250.2300	1.1	1.6	1.9
1411813101.45283	1411813128.00	41.166028	-8.597565	182.4	0.972	219.3300	1.1	1.6	1.9
1411813102.47540	1411813129.00	41.166020	-8.597583	181.6	2.541	225.7100	0.9	1.3	1.6
1411813104.44299	1411813130.00	41.166005	-8.597615	178.9	3.534	226.5300	0.9	1.3	1.6
1411813105.48120	1411813132.00	41.165960	-8.597715	178.2	5.119	243.0400	0.9	1.3	1.6
1411813106.48648	1411813133.00	41.165942	-8.597782	177.6	5.983	244.7500	0.9	1.3	1.6
1411813107.47365	1411813134.00	41.165925	-8.597852	177.6	5.726	248.2800	0.9	1.3	1.6
1411813109.45766	1411813135.00	41.165913	-8.597917	177.0	4.934	256.4100	0.9	1.3	1.6
1411813110.48337	1411813137.00	41.165902	-8.598017	176.8	2.901	254.1000	0.9	1.3	1.6
1411813111.45479	1411813138.00	41.165898	-8.598050	176.2	2.408	244.2000	0.9	1.3	1.6
1411813112.43469	1411813139.00	41.165890	-8.598073	175.9	1.569	237.9000	0.9	1.3	1.6
1411813114.44824	1411813141.00	41.165887	-8.598095	175.1	0.062	345.6200	0.9	1.3	1.6
1411813115.45317	1411813142.00	41.165888	-8.598098	174.9	0.046	15.9800	0.9	1.3	1.6
1411813116.46818	1411813143.00	41.165890	-8.598102	174.6	0.072	123.6400	0.9	1.3	1.6
1411813117.42350	1411813144.00	41.165892	-8.598103	174.3	0.057	28.4800	0.9	1.3	1.6
1411813118.87903	1411813145.00	41.165892	-8.598107	173.9	0.093	10.6100	0.9	1.3	1.6
1411813119.41771	1411813146.00	41.165893	-8.598108	173.5	0.087	14.8800	0.9	1.3	1.6
1411813120.43510	1411813147.00	41.165895	-8.598112	173.2	0.082	12.4200	0.9	1.3	1.6
1411813121.42242	1411813148.00	41.165897	-8.598113	173.0	0.072	17.0200	0.9	1.3	1.6
1411813122.42119	1411813149.00	41.165898	-8.598117	172.6	0.149	357.3900	0.9	1.3	1.6
1411813123.89296	1411813150.00	41.165900	-8.598118	172.2	0.129	356.0900	0.9	1.3	1.6
1411813124.41954	1411813151.00	41.165902	-8.598120	172.0	0.041	40.7800	0.9	1.3	1.6
1411813125.43265	1411813152.00	41.165902	-8.598122	171.7	0.113	142.3100	0.9	1.3	1.6
1411813126.43858	1411813153.00	41.165902	-8.598123	171.3	0.087	141.9000	0.9	1.3	1.6
1411813127.44228	1411813154.00	41.165902	-8.598125	170.9	0.057	102.2600	0.9	1.3	1.6
1411813128.88831	1411813155.00	41.165903	-8.598127	170.6	0.067	36.1900	0.9	1.3	1.6
1411813129.43214	1411813156.00	41.165903	-8.598128	170.4	0.036	102.6700	0.9	1.3	1.6
1411813130.43680	1411813157.00	41.165905	-8.598130	170.2	0.031	89.8400	0.9	1.3	1.6
1411813131.41592	1411813158.00	41.165905	-8.598133	170.1	0.026	46.5200	0.9	1.3	1.6
1411813132.43172	1411813159.00	41.165907	-8.598137	170.1	0.021	112.0700	0.9	1.3	1.6
1411813133.87648	1411813160.00	41.165907	-8.598138	169.9	0.046	124.2500	0.9	1.3	1.6
1411813134.42280	1411813161.00	41.165907	-8.598140	169.9	0.041	16.8100	0.9	1.3	1.6
1411813135.42542	1411813162.00	41.165908	-8.598143	169.9	0.051	356.6800	0.9	1.3	1.6
1411813136.42225	1411813163.00	41.165908	-8.598147	170.0	0.046	139.2000	1.1	1.6	1.9
1411813137.42732	1411813164.00	41.165908	-8.598150	170.0	0.062	137.3000	1.1	1.6	1.9
1411813138.87759	1411813165.00	41.165908	-8.598153	170.2	0.041	138.5500	1.1	1.6	1.9
1411813139.42626	1411813166.00	41.165908	-8.598157	170.4	0.026	115.0200	1.1	1.6	1.9
1411813140.43311	1411813167.00	41.165910	-8.598158	170.5	0.010	357.1100	1.1	1.6	1.9
1411813141.42042	1411813168.00	41.165910	-8.598162	170.6	0.077	353.1700	1.1	1.6	1.9
1411813142.41142	1411813169.00	41.165910	-8.598165	170.7	0.041	347.7800	1.1	1.6	1.9
1411813143.86601	1411813170.00	41.165910	-8.598167	170.9	0.026	6.2700	1.1	1.6	1.9
1411813144.42265	1411813171.00	41.165910	-8.598170	171.0	0.072	153.3600	1.1	1.6	1.9
1411813145.42915	1411813172.00	41.165905	-8.598170	171.0	0.113	153.2500	1.1	1.6	1.9
1411813146.43782	1411813173.00	41.165900	-8.598170	170.9	0.093	135.9500	1.1	1.6	1.9
1411813147.43738	1411813174.00	41.165890	-8.598170	170.9	0.262	163.8700	1.1	1.6	1.9
1411813148.87320	1411813175.00	41.165882	-8.598170	170.9	0.021	114.5200	1.1	1.6	1.9
1411813149.44144	1411813176.00	41.165875	-8.598170	170.9	0.041	102.9300	1.1	1.6	1.9
1411813150.42620	1411813177.00	41.165868	-8.598170	170.9	0.242	161.9600	1.1	1.6	1.9
1411813151.44117	1411813178.00	41.165862	-8.598172	170.9	0.288	167.7900	1.1	1.6	1.9
1411813152.41355	1411813179.00	41.165855	-8.598172	170.9	0.211	166.2400	1.1	1.6	1.9
1411813153.86534	1411813180.00	41.165850	-8.598172	171.0	0.093	359.1300	1.1	1.6	1.9
1411813154.42487	1411813181.00	41.165848	-8.598173	171.0	0.237	359.3200	0.9	1.3	1.6
1411813155.42391	1411813182.00	41.165845	-8.598173	170.9	0.129	17.6700	0.9	1.3	1.6
1411813156.42566	1411813183.00	41.165843	-8.598173	170.8	0.206	4.5000	0.9	1.3	1.6
1411813157.42823	1411813184.00	41.165842	-8.598173	170.8	0.093	33.4700	0.9	1.3	1.6
1411813158.87733	1411813185.00	41.165838	-8.598173	170.7	0.046	79.5100	0.9	1.3	1.6
1411813159.42987	1411813186.00	41.165837	-8.598175	170.7	0.041	40.2400	0.9	1.3	1.6
1411813160.42993	1411813187.00	41.165840	-8.598175	170.6	0.201	9.7800	0.9	1.3	1.6
1411813161.43687	1411813188.00	41.165840	-8.598175	170.5	0.098	43.2200	0.9	1.3	1.6
1411813162.43232	1411813189.00	41.165840	-8.598175	170.5	0.149	157.5900	0.9	1.3	1.6
1411813163.89066	1411813190.00	41.165837	-8.598175	170.5	0.031	154.8600	0.9	1.3	1.6
1411813164.42927	1411813191.00	41.165835	-8.598175	170.5	0.108	6.4800	0.9	1.3	1.6
1411813165.44302	1411813192.00	41.165837	-8.598175	170.4	0.139	18.5000	0.9	1.3	1.6
1411813166.42963	1411813193.00	41.165837	-8.598175	170.4	0.108	5.6100	0.9	1.3	1.6
1411813167.42843	1411813194.00	41.165838	-8.598175	170.3	0.082	6.1400	0.9	1.3	1.6
1411813168.87603	1411813195.00	41.165840	-8.598175	170.2	0.170	156.7200	0.9	1.3	1.6
1411813169.44034	1411813196.00	41.165837	-8.598175	170.4	0.221	170.3900	0.9	1.3	1.6
1411813170.44209	1411813197.00	41.165835	-8.598175	170.4	0.170	165.3800	0.9	1.3	1.6
1411813171.43854	1411813198.00	41.165837	-8.598177	170.4	0.057	156.1100	0.9	1.3	1.6
1411813172.43224	1411813199.00	41.165838	-8.598178	170.7	0.087	5.7000	1.1	1.3	1.7
1411813173.87113	1411813200.00	41.165840	-8.598180	170.8	0.057	150.3800	1.1	1.3	1.7
1411813174.43099	1411813201.00	41.165840	-8.598180	170.9	0.067	136.9600	1.1	1.3	1.7
1411813175.43321	1411813202.00	41.165842	-8.598182	171.1	0.077	0.4300	1.1	1.3	1.7
1411813176.43348	1411813203.00	41.165845	-8.598182	171.1	0.031	61.6100	1.1	1.3	1.7
1411813177.41746	1411813204.00	41.165847	-8.598183	171.2	0.175	212.9400	1.1	1.3	1.7
1411813178.86840	1411813205.00	41.165843	-8.598188	171.2	0.962	223.2600	1.1	1.3	1.7
1411813179.45415	1411813206.00	41.165838	-8.598203	171.0	2.114	235.9800	0.9	1.3	1.6
1411813180.42419	1411813207.00	41.165828	-8.598233	170.9	3.539	240.6800	0.9	1.3	1.6
1411813181.43565	1411813208.00	41.165815	-8.598278	170.7	4.795	245.6300	0.9	1.3	1.6
1411813182.43267	1411813209.00	41.165798	-8.598332	170.8	5.304	241.6600	0.9	1.3	1.6
1411813183.88333	1411813210.00	41.165775	-8.598387	170.9	5.587	238.8000	0.9	1.3	1.6
1411813184.43124	1411813211.00	41.165738	-8.598438	171.2	6.019	222.8000	0.9	1.3	1.6
1411813185.45138	1411813212.00	41.165695	-8.598492	171.3	6.672	226.2900	1.1	1.6	1.9
1411813186.44280	1411813213.00	41.165650	-8.598545	171.3	6.683	218.5200	1.1	1.6	1.9
1411813187.43552	1411813214.00	41.165600	-8.598587	171.4	5.962	209.4200	0.9	1.3	1.6
1411813188.89317	1411813215.00	41.165552	-8.598617	172.1	4.805	201.4200	0.9	1.3	1.6
1411813189.43224	1411813216.00	41.165505	-8.598637	173.5	4.851	193.6800	0.9	1.3	1.6
1411813190.43654	1411813217.00	41.165458	-8.598642	173.9	4.867	175.5900	0.9	1.3	1.6
1411813191.45656	1411813218.00	41.165413	-8.598628	174.5	4.939	154.1600	0.9	1.3	1.6
1411813192.43198	1411813219.00	41.165377	-8.598595	174.9	4.522	134.4100	0.9	1.3	1.6
1411813193.88953	1411813220.00	41.165357	-8.598552	175.4	4.167	106.9000	0.9	1.3	1.6
